Pod Karlovem,50.068104,14.433587,
Podkováøská,50.102951,14.513454,
Podolská vodárna,50.058416,14.419349,
Pohoøelec,50.0879,14.388128,
Poliklinika Barrandov,50.03436,14.374893,
Poliklinika Modøany,50.004796,14.419572,
Poliklinika Vysoèany,50.108865,14.494761,
Poštovka,50.06855,14.354298,
Poštovská,50.110556,14.509199,
Prašnı most,50.09473,14.39387,
Právnická fakulta,50.091706,14.417861,
Praská trnice,50.098339,14.444099,
Praskı hrad,50.093215,14.397921,
Prùbìná,50.071596,14.486571,
Pøístavištì,50.039736,14.40923,
Radhošská,50.077653,14.457278,
Radošovická,50.06664,14.496797,
Ruská,50.07166,14.451272,
Øíèanova,50.081326,14.352767,
Sibeliova,50.092878,14.383607,
Sídlištì Barrandov,50.031511,14.36777,
Sídlištì Èervenı vrch,50.0980331,14.3592597,
Sídlištì Ïáblice,50.132082,14.479396,
Sídlištì Hloubìtín,50.106537,14.543566,
Sídlištì Modøany,50.005038,14.433362,
Sídlištì Petøiny,50.087034,14.33958,
Sídlištì Øepy,50.065439,14.298031,
Sídlištì Zahradní Mìsto,50.056715,14.513262,
Slánská,50.064552,14.30853,
Slavia,50.06961,14.471263,
Solidarita,50.076881,14.494722,
Sparta,50.09899,14.41613,
Spojovací,50.091506,14.499407,
Spoøilov,50.050559,14.482007,
Starı Hloubìtín,50.104019,14.530207,
Stejskalova,50.109844,14.472354,
Strání,50.09219,14.481012,
Strossmayerovo námìstí,50.098883,14.433691,
Støelnièná,50.125854,14.459575,
Svatoplukova,50.065102,14.429172,
Škola Radlice,50.059448,14.392869,
Špitálská,50.110899,14.50541,
Štìpánská,50.075689,14.422431,
Štìpnièná,50.128007,14.477661,
Šumavská,50.075402,14.444184,
Švandovo divadlo,50.078484,14.404174,
Teplárna Michle,50.052613,14.474989,
Tìšnov,50.091673,14.436489,
Thákurova,50.100092,14.386673,
Trojská,50.116179,14.433116,
Tøebenická,50.129535,14.480904,
Tusarova,50.100778,14.450016,
U Elektry,50.103462,14.518555,
U kaštanu,50.0836608,14.3632061,
U køíe,50.1125428,14.4758553,
U Libušského potoka,50.005708,14.423864,
U prùhonu,50.1050397,14.4497547,
U Zvonu,50.071635,14.387419,
Újezd,50.080538,14.40465,
Urxova,50.095122,14.456726,
Ústøední dílny DP,50.074379,14.532195,
Veletrní palác,50.101542,14.433172,
Vìtrník,50.090014,14.351947,
Vinice,50.076676,14.490483,
Vinohradská trnice,50.07701,14.442831,
Vinohradská vodárna,50.07544,14.449324,
Vinohradské høbitovy,50.077758,14.480204,
Vodièkova,50.080036,14.423431,
Vojenská nemocnice,50.091757,14.359419,
Vosmíkovıch,50.114301,14.472601,
Vozovna Hloubìtín,50.107471,14.528329,
Vozovna Kobylisy,50.131942,14.453632,
Vozovna Motol,50.067864,14.340385,
Vozovna Pankrác,50.056861,14.437824,
Vozovna Strašnice,50.077028,14.487596,
Vozovna Støešovice,50.09357,14.389065,
Vozovna Vokovice,50.092926,14.330468,
Vozovna ikov,50.091492,14.474534,
Vršovické námìstí,50.069156,14.454219,
Vychovatelna,50.119237,14.463837,
Vypich,50.07974,14.346677,
Vıstavištì Holešovice,50.104837,14.432794,
Vıtoò,50.068122,14.415006,
Zahradní Mìsto,50.060567,14.505976,
Zborov - Strašnické divadlo,50.0772956,14.5007003,
Zborovská,50.072431,14.407203,
Zelená,50.107663,14.394637,
Zlíchov,50.047059,14.408166,
